id_cliente,segmento_cliente,capital_social,idade_cnpj,serasa_contagem_negativacoes,serasa_contagem_protestos,serasa_socio_tem_negativacao,ifood_contagem_avaliacoes,ifood_faixa_preco,google_maps_avaliacao,google_maps_contagem_avaliacoes,google_maps_tem_website,inadimplente,tem_google_maps,tem_ifood,tem_credores,natureza_juridica_cod,fonte_cliente_1,fonte_cliente_2,fonte_cliente_4,fonte_cliente_5,uf_PE,municipio_CARPINA,municipio_CARUARU,municipio_FORTALEZA,municipio_IGARASSU,municipio_IPOJUCA,municipio_JABOATAO DOS GUARARAPES,municipio_OLINDA,municipio_PAULISTA,municipio_RECIFE,credor_alimentos_e_bebidas,credor_financeiro,credor_saúde,credor_bancos_e_financeiro,credor_tecnologia,credor_telecomunicações,credor_distribuição,cnae_divisao,cnae_secao,qtd_pedidos,valor_total_pedidos,valor_medio_pedido,valor_max_pedido,atraso_total,atraso_max,pedidos_com_atraso,score_serasa_negativo,presenca_digital,capital_por_ano,ticket_medio_alto,reputacao_google
5798031917229,Restaurante Brasileiro,85000.0,16500.0,0.0,0.0,0.0,0.0,0,3.5,150.0,1.0,0.0,1,0,0,206.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1880.3,0,17.5605
5798103023789,Lanches & Salgados,85000.0,16500.0,0.0,0.0,1.0,2.5,1,0.0,0.0,0.0,0.0,0,1,0,230.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1880.3,0,0.0
5799764689069,Padaria,40000.0,16500.0,0.0,0.0,0.0,0.0,1,4.75,3750.0,1.0,0.0,1,1,0,206.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,884.85,0,39.0914
5801890709677,Padaria,60000.0,16500.0,0.0,0.0,0.0,0.0,1,4.25,875.0,1.0,0.0,1,1,0,206.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1327.27,0,28.7953
5806617165997,Restaurante Brasileiro,12500.0,16500.0,0.0,0.0,0.0,0.0,0,4.25,625.0,1.0,0.0,1,0,0,206.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,276.52,0,27.3672
5812739899565,Mercearia & Mercado,9000.0,6500.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,213.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,47,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,505.38,0,0.0
5812869038253,Padaria,12500.0,16500.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,213.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,276.52,0,0.0
5813004370093,Restaurante Brasileiro,9000.0,6500.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0,0,0,213.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,505.38,0,0.0
5818513227949,Padaria,17500.0,16500.0,0.0,0.0,0.0,0.0,0,4.25,625.0,1.0,0.0,1,0,0,206.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,387.12,0,27.3672
5820636561581,Padaria,85000.0,6500.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,230.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4773.08,0,0.0
